City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
319,Sao Filipe,CV,14.8961,-24.4956,76.1,79,31,15.32,scattered clouds
320,Sinnamary,GF,5.3833,-52.95,82.35,71,78,6.55,broken clouds
321,Karratha,AU,-20.7377,116.8463,65.75,64,1,6.11,clear sky
322,Aanekoski,FI,62.6946,25.818,57.85,12,87,6.15,overcast clouds
323,Altay,CN,47.8667,88.1167,66.9,48,31,5.97,scattered clouds
324,Luganville,VU,-15.5333,167.1667,77.4,87,75,14.18,broken clouds
325,Constitucion,CL,-35.3333,-72.4167,48.67,91,100,13.58,moderate rain
326,Carbonia,IT,39.1672,8.5222,85.01,44,0,5.23,clear sky
327,Leningradskiy,RU,69.3833,178.4167,31.98,82,60,21.79,broken clouds
328,Christchurch,NZ,-43.5333,172.6333,53.8,58,59,5.75,broken clouds
329,Kemijarvi,FI,66.7131,27.4306,61.45,70,74,2.91,broken clouds
330,Rio Gallegos,AR,-51.6226,-69.2181,28.45,80,75,2.3,broken clouds
331,Key West,US,24.5557,-81.7826,93.2,65,0,11.5,clear sky
332,Panguna,PG,-6.3164,155.4848,66.85,97,40,2.35,scattered clouds
333,Ulfborg,DK,56.2673,8.3217,63.99,87,98,11.14,light rain
334,Yuli,NG,9.6989,10.2744,72.46,96,100,1.9,overcast clouds
335,Vitim,RU,59.4511,112.5578,55.83,75,100,3.49,overcast clouds
336,Westerland,DE,54.9079,8.3033,64.02,82,0,12.66,clear sky
337,Iralaya,HN,15.0,-83.2333,84.85,70,9,11.45,clear sky
338,Provideniya,RU,64.3833,-173.3,51.15,95,100,6.33,overcast clouds
339,Quetzaltenango,GT,14.8333,-91.5167,70.38,64,0,11.5,clear sky
340,Acarau,BR,-2.8856,-40.12,84.42,66,51,16.84,broken clouds
341,Pevek,RU,69.7008,170.3133,31.03,94,100,35.19,light snow
342,Kedrovyy,RU,56.1667,91.8167,57.87,98,66,4.94,light rain
343,Ramgarh,IN,23.6333,85.5167,80.65,91,19,9.51,few clouds
344,Bubaque,GW,11.2833,-15.8333,81.27,84,95,13.35,light rain
345,Hualmay,PE,-11.0964,-77.6139,65.82,71,29,9.6,scattered clouds
346,Laguna,US,38.421,-121.4238,98.94,43,0,8.05,clear sky
347,Coro,VE,11.4045,-69.6734,88.34,62,47,21.41,scattered clouds
